transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-0001,BILL-1001,02-01-2025,S3,Uptown,C147,New,P302,Personal Care,Body Wash,5,7.17,UPI,1,Online
TXN-2025-0002,BILL-1001,06-01-2025,S3,Uptown,C069,Regular,P205,Snacks,Potato Chips,5,3.6,Credit Card,0,In-store
TXN-2025-0003,BILL-1001,25-01-2025,S1,Downtown,C084,New,P401,Beverages,Green Tea,1,3.36,UPI,0,In-store
TXN-2025-0004,BILL-1001,15-01-2025,S1,Downtown,C035,Regular,P303,Personal Care,Face Cream,1,8.71,Cash,0.5,In-store
TXN-2025-0005,BILL-1001,23-01-2025,S3,Uptown,C043,Loyal,P301,Personal Care,Shampoo 250ml,1,7.91,UPI,1,Online
TXN-2025-0006,BILL-1001,07-01-2025,S3,Uptown,C150,Regular,P102,Beverages,Soda 500ml,3,5.11,Cash,0,Online
TXN-2025-0007,BILL-1001,18-01-2025,S1,Downtown,C127,Loyal,P301,Personal Care,Shampoo 250ml,2,7.72,Cash,0,In-store
TXN-2025-0008,BILL-1002,08-01-2025,S1,Downtown,C044,New,P301,Personal Care,Shampoo 250ml,1,1.4,Cash,1,In-store
TXN-2025-0009,BILL-1002,16-01-2025,S2,Suburban,C005,Regular,P102,Beverages,Soda 500ml,5,7.23,Cash,0.5,In-store
TXN-2025-0010,BILL-1002,03-01-2025,S1,Downtown,C081,New,P501,Snacks,Chocolate Bar,4,5.5,Credit Card,1,Online
TXN-2025-0011,BILL-1002,27-01-2025,S2,Suburban,C070,New,P401,Beverages,Green Tea,4,3.69,Cash,0.5,Online
TXN-2025-0012,BILL-1003,22-01-2025,S1,Downtown,C002,Regular,P301,Personal Care,Shampoo 250ml,5,9.89,UPI,1,Online
TXN-2025-0013,BILL-1003,19-01-2025,S1,Downtown,C043,New,P102,Beverages,Soda 500ml,3,1.23,UPI,0,Online
TXN-2025-0014,BILL-1004,18-01-2025,S2,Suburban,C011,New,P302,Personal Care,Body Wash,5,3.62,Cash,1,Online
TXN-2025-0015,BILL-1004,08-01-2025,S2,Suburban,C069,New,P302,Personal Care,Body Wash,3,6.45,Cash,0.5,In-store
TXN-2025-0016,BILL-1005,13-01-2025,S1,Downtown,C113,Regular,P401,Beverages,Green Tea,4,6.83,Credit Card,0.5,In-store
TXN-2025-0017,BILL-1005,19-01-2025,S1,Downtown,C062,New,P205,Snacks,Potato Chips,1,2.15,UPI,0,In-store
TXN-2025-0018,BILL-1005,28-01-2025,S3,Uptown,C035,Regular,P210,Snacks,Nachos,5,4.98,UPI,0,In-store
TXN-2025-0019,BILL-1005,16-01-2025,S3,Uptown,C140,New,P205,Snacks,Potato Chips,3,7.29,Cash,0,In-store
TXN-2025-0020,BILL-1006,11-01-2025,S1,Downtown,C056,Regular,P102,Beverages,Soda 500ml,1,1.52,UPI,1,In-store
TXN-2025-0021,BILL-1006,26-01-2025,S1,Downtown,C117,Regular,P101,Beverages,Orange Juice 1L,1,6.22,Credit Card,1,In-store
TXN-2025-0022,BILL-1007,19-01-2025,S1,Downtown,C043,Regular,P301,Personal Care,Shampoo 250ml,5,1.14,UPI,0.5,In-store
TXN-2025-0023,BILL-1007,07-01-2025,S1,Downtown,C077,Regular,P301,Personal Care,Shampoo 250ml,5,1.38,Credit Card,0,Online
TXN-2025-0024,BILL-1007,31-01-2025,S3,Uptown,C099,Loyal,P301,Personal Care,Shampoo 250ml,5,4.73,Credit Card,0.5,Online
TXN-2025-0025,BILL-1007,25-01-2025,S3,Uptown,C003,Loyal,P205,Snacks,Potato Chips,5,9.56,Cash,1,Online
TXN-2025-0026,BILL-1007,06-01-2025,S2,Suburban,C013,New,P101,Beverages,Orange Juice 1L,1,8.55,Cash,0,Online
TXN-2025-0027,BILL-1007,11-01-2025,S1,Downtown,C062,New,P401,Beverages,Green Tea,2,3.97,UPI,0.5,In-store
TXN-2025-0028,BILL-1007,26-01-2025,S2,Suburban,C111,Regular,P301,Personal Care,Shampoo 250ml,3,7.18,Cash,0.5,Online
TXN-2025-0029,BILL-1007,12-01-2025,S3,Uptown,C042,Regular,P401,Beverages,Green Tea,3,9.99,UPI,0,In-store
TXN-2025-0030,BILL-1007,23-01-2025,S3,Uptown,C137,Loyal,P205,Snacks,Potato Chips,1,6.68,UPI,0,Online
TXN-2025-0031,BILL-1007,02-01-2025,S2,Suburban,C095,New,P401,Beverages,Green Tea,5,7.65,Credit Card,1,Online
TXN-2025-0032,BILL-1007,29-01-2025,S2,Suburban,C139,Loyal,P101,Beverages,Orange Juice 1L,3,3.96,Credit Card,0.5,Online
TXN-2025-0033,BILL-1007,18-01-2025,S2,Suburban,C137,New,P101,Beverages,Orange Juice 1L,4,7.49,Credit Card,0.5,Online
TXN-2025-0034,BILL-1008,25-01-2025,S2,Suburban,C055,Regular,P101,Beverages,Orange Juice 1L,3,3.3,UPI,1,Online
TXN-2025-0035,BILL-1008,31-01-2025,S2,Suburban,C032,Regular,P205,Snacks,Potato Chips,2,6.38,Credit Card,0.5,Online
TXN-2025-0036,BILL-1008,24-01-2025,S3,Uptown,C130,Loyal,P302,Personal Care,Body Wash,1,7.54,Cash,0.5,In-store
TXN-2025-0037,BILL-1008,05-01-2025,S2,Suburban,C062,Loyal,P101,Beverages,Orange Juice 1L,1,2.41,Cash,1,In-store
TXN-2025-0038,BILL-1008,06-01-2025,S1,Downtown,C001,Loyal,P501,Snacks,Chocolate Bar,1,3.11,Cash,0,Online
TXN-2025-0039,BILL-1009,06-01-2025,S1,Downtown,C002,New,P210,Snacks,Nachos,5,4.39,Credit Card,0,Online
TXN-2025-0040,BILL-1009,08-01-2025,S1,Downtown,C004,New,P302,Personal Care,Body Wash,5,3.93,UPI,0.5,Online
TXN-2025-0041,BILL-1009,04-01-2025,S2,Suburban,C016,Regular,P102,Beverages,Soda 500ml,3,1.93,UPI,0,Online
TXN-2025-0042,BILL-1009,02-01-2025,S2,Suburban,C053,New,P401,Beverages,Green Tea,5,7.86,Credit Card,0.5,In-store
TXN-2025-0043,BILL-1009,10-01-2025,S1,Downtown,C042,Loyal,P501,Snacks,Chocolate Bar,1,2.69,UPI,0.5,In-store
TXN-2025-0044,BILL-1009,19-01-2025,S3,Uptown,C132,New,P301,Personal Care,Shampoo 250ml,5,1.93,Cash,0,In-store
TXN-2025-0045,BILL-1009,08-01-2025,S3,Uptown,C071,Regular,P302,Personal Care,Body Wash,4,2.09,Credit Card,0,Online
TXN-2025-0046,BILL-1009,11-01-2025,S2,Suburban,C111,Loyal,P401,Beverages,Green Tea,2,1.75,Cash,1,In-store
TXN-2025-0047,BILL-1009,13-01-2025,S1,Downtown,C107,Loyal,P302,Personal Care,Body Wash,3,8.72,UPI,0,In-store
TXN-2025-0048,BILL-1009,01-01-2025,S2,Suburban,C050,New,P210,Snacks,Nachos,5,3.04,Cash,1,In-store
TXN-2025-0049,BILL-1010,21-01-2025,S1,Downtown,C083,New,P302,Personal Care,Body Wash,1,9.25,Credit Card,0,In-store
TXN-2025-0050,BILL-1010,30-01-2025,S3,Uptown,C102,Loyal,P101,Beverages,Orange Juice 1L,1,6.28,UPI,0.5,In-store
TXN-2025-0051,BILL-1010,27-01-2025,S2,Suburban,C141,New,P101,Beverages,Orange Juice 1L,1,3.69,Credit Card,0.5,Online
TXN-2025-0052,BILL-1010,20-01-2025,S1,Downtown,C064,New,P101,Beverages,Orange Juice 1L,4,3.9,UPI,1,In-store
TXN-2025-0053,BILL-1011,29-01-2025,S1,Downtown,C005,Loyal,P102,Beverages,Soda 500ml,1,2.89,UPI,1,In-store
TXN-2025-0054,BILL-1011,13-01-2025,S3,Uptown,C010,New,P302,Personal Care,Body Wash,1,5.56,Credit Card,0,Online
TXN-2025-0055,BILL-1011,16-01-2025,S1,Downtown,C072,New,P401,Beverages,Green Tea,5,6.91,UPI,0,In-store
TXN-2025-0056,BILL-1011,24-01-2025,S2,Suburban,C053,New,P205,Snacks,Potato Chips,1,6.14,Cash,0.5,In-store
TXN-2025-0057,BILL-1012,11-01-2025,S1,Downtown,C034,Regular,P101,Beverages,Orange Juice 1L,5,3.03,UPI,0,In-store
TXN-2025-0058,BILL-1012,23-01-2025,S3,Uptown,C022,New,P303,Personal Care,Face Cream,2,3.4,Credit Card,0,In-store
TXN-2025-0059,BILL-1012,18-01-2025,S2,Suburban,C058,Regular,P401,Beverages,Green Tea,3,9.13,Credit Card,0.5,Online
TXN-2025-0060,BILL-1012,30-01-2025,S3,Uptown,C095,Regular,P501,Snacks,Chocolate Bar,4,3.8,UPI,0.5,In-store
TXN-2025-0061,BILL-1013,05-01-2025,S1,Downtown,C143,New,P501,Snacks,Chocolate Bar,1,7.41,Credit Card,0.5,Online
TXN-2025-0062,BILL-1013,25-01-2025,S1,Downtown,C058,New,P501,Snacks,Chocolate Bar,1,4.51,Credit Card,1,In-store
TXN-2025-0063,BILL-1013,05-01-2025,S3,Uptown,C001,Regular,P303,Personal Care,Face Cream,5,1,Cash,1,In-store
TXN-2025-0064,BILL-1013,13-01-2025,S3,Uptown,C022,Loyal,P101,Beverages,Orange Juice 1L,4,1.27,UPI,0,Online
TXN-2025-0065,BILL-1013,06-01-2025,S2,Suburban,C083,Regular,P205,Snacks,Potato Chips,3,8.89,Cash,0,Online
TXN-2025-0066,BILL-1013,02-01-2025,S3,Uptown,C029,Regular,P302,Personal Care,Body Wash,2,8.97,Cash,0.5,Online
TXN-2025-0067,BILL-1013,11-01-2025,S3,Uptown,C088,Loyal,P303,Personal Care,Face Cream,1,9.09,UPI,0.5,Online
TXN-2025-0068,BILL-1013,28-01-2025,S3,Uptown,C047,Regular,P205,Snacks,Potato Chips,2,6.16,Credit Card,0.5,Online
